Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,Ac4c,1,174287.75,53.2734632,1509.21643,161.88348509,1.3533624323,1508.09937,86.388907328,1509.25903,9.3645686954,1508.98657,2.8931615444,1509.17578
Tc 8c 5d,Ac5c,1,174919969,69.8679268,1890.41272,154.61111979,0.12853839043,1890.25244,34.15410469,1891.08923,44.249919273,1889.7749,21.467437647,1890.64807
Tc 8c 5d,Ac6c,0.395000011,67896.3047,54.4671655,1506.4967,158.05031329,0.62192542891,1506.14343,53.811635259,1506.83679,34.470647743,1505.97571,11.095791569,1506.47852
Tc 8c 5d,Ac7c,625,108130234,55.722481,1572.81384,161.29051499,0.60387671049,1572.37317,50.871690445,1573.46423,38.564486381,1571.97681,9.9599464627,1572.75024
Tc 8c 5d,Ac9c,1,172682641,57.5583041,1568.4751,155.71540888,0.72952642728,1567.93469,53.916827389,1569.0238,35.27223161,1567.6532,10.081414574,1568.44568
Tc 8c 5d,AcJc,1,175852656,60.0822091,1656.12048,157.50994748,0.64576494097,1655.56921,65.974320183,1656.42224,28.168906156,1655.43787,5.2110087199,1656.04163
Tc 8c 5d,AcQc,1,174652734,61.5459085,1618.62561,150.28276331,0.61472914943,1618.13464,56.129587732,1619.10742,30.17847418,1617.83997,13.077208938,1618.38562
Tc 8c 5d,AcKc,1,173912406,62.4053419,1592.82581,145.85068352,0.26489864011,1592.5802,44.914656711,1593.30627,31.929570736,1592.22229,22.890873912,1592724
Tc 8c 5d,AcTd,0.0549999997,9379.49512,76.467675,1548.1604,115.6911186,0.067260669414,1548.16858,29.417853719,1547.88403,34.610268905,1547.79321,35.904616707,1548.7384
Tc 8c 5d,AcJd,0.720000029,124533172,39.4143879,571.670776,82.880651524,1.7066660981,569.991089,62.073123969,572.365723,31.954774963,570.450989,4.26543497,571.3573
Tc 8c 5d,AcQd,1,171516672,41.702944,537.126526,73.598987023,1.9935952426,535.546753,61.655383871,537.570618,26.990438129,536.27124,9.3605827575,537.00116
Tc 8c 5d,AcKd,1,172903281,42.8580284,542.190308,72.290547351,1.5888028557,541.196777,55.422736717,542.708801,21.853353279,541.347046,21.135107148,541.775879
Tc 8c 5d,AcTh,0.0549999997,9379.49219,76.2266278,1520.72437,114.00023579,0.76255672694,1520.31641,54.776644005,1521.2489,42.523708864,1520.04895,1.9370904041,1520.81897
Tc 8c 5d,AcJh,0.720000029,124533172,39.2501533,550.049927,80.079749396,3.2909332296,547.664795,51.098857107,550.570923,29.971608414,549.468994,15.63860125,549.960083
Tc 8c 5d,AcQh,1,171516641,41.5276706,517.464294,71.204061777,2.0568210529,515.765625,59.224008479,517.955994,26.082448617,516.593018,12.636721851,517.232239
Tc 8c 5d,AcKh,1,172685828,42.7007586,531.155701,71.080129108,1.4710532101,530.058655,49.039890144,531.654541,32.644002055,530.507141,16.84505459,531.054016
Tc 8c 5d,AcTs,0.0549999997,9379.49023,76.2266517,1520.72449,114.00020904,0.76229660087,1520.31653,54.776625137,1521.24902,42.523981681,1520.04895,1.9370965807,1520.81921
